time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2026-03-21 23:15:07, -1.8784,55.0192, 999.3,  142,  4.9,  3.0,  3.0, 87, 87, 4.76,298, 0.8
2026-03-21 23:15:09, -1.8782,55.0191, 996.4,  165,  6.5,  3.3,  3.3, 80, 80, 4.85,262, 2.5
2026-03-21 23:15:11, -1.8782,55.0191, 995.1,  177,  6.8,  3.1,  3.1, 78, 78, 4.82,258, 2.8
2026-03-21 23:15:13, -1.8782,55.0192, 993.8,  188,  7.2,  3.1,  3.1, 75, 75, 4.79,255, 3.0
2026-03-21 23:15:15, -1.8780,55.0192, 992.3,  200,  7.7,  3.0,  3.0, 72, 72, 4.78,253, 3.2
2026-03-21 23:15:17, -1.8778,55.0192, 991.0,  210,  8.0,  3.1,  3.1, 71, 71, 4.82,250, 3.4
2026-03-21 23:15:19, -1.8776,55.0192, 990.0,  219,  8.1,  3.3,  3.3, 72, 72, 4.90,248, 3.6
2026-03-21 23:15:21, -1.8775,55.0193, 988.9,  229,  8.2,  3.5,  3.5, 72, 72, 4.96,247, 3.8
2026-03-21 23:15:23, -1.8775,55.0194, 987.3,  242,  8.4,  3.6,  3.6, 72, 72, 5.01,246, 4.0
2026-03-21 23:15:25, -1.8774,55.0194, 985.6,  256,  8.5,  3.8,  3.8, 72, 72, 5.09,246, 4.1
2026-03-21 23:15:27, -1.8773,55.0194, 984.3,  267,  8.7,  4.0,  4.0, 72, 72, 5.19,246, 4.2
2026-03-21 23:15:29, -1.8773,55.0195, 982.8,  280,  8.7,  4.1,  4.1, 73, 73, 5.21,246, 4.4
2026-03-21 23:15:31, -1.8771,55.0195, 981.0,  293,  8.6,  4.1,  4.1, 73, 73, 5.23,247, 4.5
2026-03-21 23:15:33, -1.8769,55.0196, 980.2,  303,  8.5,  4.1,  4.1, 74, 74, 5.23,247, 4.7
2026-03-21 23:15:35, -1.8769,55.0196, 978.7,  314,  8.5,  4.0,  4.0, 73, 73, 5.20,248, 4.8
2026-03-21 23:15:37, -1.8767,55.0196, 977.2,  326,  8.5,  3.5,  3.5, 71, 71, 5.03,248, 5.0
2026-03-21 23:15:39, -1.8765,55.0196, 976.4,  335,  8.5,  3.3,  3.3, 70, 70, 4.98,249, 5.2
2026-03-21 23:15:41, -1.8764,55.0196, 974.6,  349,  8.4,  3.3,  3.3, 70, 70, 4.98,249, 5.3
2026-03-21 23:15:43, -1.8762,55.0197, 972.9,  363,  8.4,  2.2,  2.2, 65, 65, 4.62,248, 5.5
2026-03-21 23:15:45, -1.8760,55.0197, 972.0,  372,  8.5,  1.6,  1.6, 62, 62, 4.42,248, 5.7
2026-03-21 23:15:47, -1.8758,55.0197, 970.6,  383,  8.4,  1.6,  1.6, 62, 62, 4.41,247, 5.9
2026-03-21 23:15:49, -1.8757,55.0198, 969.2,  395,  8.5, -0.2, -0.2, 54, 54, 3.88,246, 6.1
2026-03-21 23:15:51, -1.8755,55.0199, 968.0,  404,  8.8, -1.8, -1.6, 47, 47, 3.46,244, 6.3
2026-03-21 23:15:53, -1.8752,55.0200, 967.3,  408,  8.8, -2.0, -1.8, 46, 46, 3.40,243, 6.5
2026-03-21 23:15:55, -1.8751,55.0200, 967.0,  415,  8.8, -2.2, -2.0, 46, 46, 3.36,242, 6.7
2026-03-21 23:15:57, -1.8751,55.0200, 965.3,  427,  8.9, -2.7, -2.4, 44, 44, 3.24,241, 6.9
2026-03-21 23:15:59, -1.8749,55.0201, 964.2,  438,  8.8, -2.9, -2.6, 44, 44, 3.20,240, 7.0
2026-03-21 23:16:01, -1.8746,55.0202, 962.8,  449,  8.8, -3.1, -2.8, 43, 43, 3.15,239, 7.2
2026-03-21 23:16:03, -1.8744,55.0202, 961.8,  458,  8.7, -3.3, -2.9, 42, 42, 3.11,239, 7.3
2026-03-21 23:16:05, -1.8742,55.0204, 960.9,  466,  8.8, -3.3, -2.9, 42, 42, 3.12,239, 7.4
2026-03-21 23:16:07, -1.8739,55.0205, 959.9,  475,  8.7, -3.1, -2.7, 43, 43, 3.17,239, 7.5
2026-03-21 23:16:09, -1.8736,55.0205, 958.9,  483,  8.6, -3.1, -2.8, 43, 43, 3.16,239, 7.6
2026-03-21 23:16:11, -1.8735,55.0206, 958.0,  491,  8.6, -3.2, -2.8, 43, 43, 3.16,240, 7.7
2026-03-21 23:16:13, -1.8734,55.0207, 957.2,  498,  8.5, -3.2, -2.8, 44, 44, 3.16,241, 7.7
2026-03-21 23:16:15, -1.8733,55.0208, 956.5,  504,  8.5, -3.2, -2.8, 44, 44, 3.16,242, 7.8
2026-03-21 23:16:17, -1.8731,55.0208, 955.6,  511,  8.4, -3.1, -2.8, 44, 44, 3.17,243, 7.9
2026-03-21 23:16:19, -1.8728,55.0208, 954.9,  518,  8.4, -3.1, -2.7, 44, 44, 3.18,244, 8.0
2026-03-21 23:16:21, -1.8725,55.0209, 953.9,  527,  8.3, -3.0, -2.7, 45, 45, 3.20,245, 8.1
2026-03-21 23:16:23, -1.8722,55.0210, 952.8,  536,  8.3, -3.1, -2.7, 45, 45, 3.20,247, 8.3
2026-03-21 23:16:25, -1.8720,55.0211, 951.8,  545,  8.2, -3.1, -2.8, 45, 45, 3.18,248, 8.5
2026-03-21 23:16:27, -1.8719,55.0212, 950.9,  552,  8.2, -3.3, -2.9, 44, 44, 3.16,248, 8.7
2026-03-21 23:16:29, -1.8716,55.0212, 950.1,  560,  8.1, -3.1, -2.7, 45, 45, 3.21,249, 8.9
2026-03-21 23:16:31, -1.8713,55.0212, 949.1,  568,  8.0, -2.9, -2.5, 46, 46, 3.26,249, 9.0
2026-03-21 23:16:33, -1.8710,55.0212, 948.3,  575,  8.0, -2.6, -2.4, 47, 47, 3.31,249, 9.2
